dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD,HorizontalRes,GCNConv,4,2,identity,17,0.723404255319149,0.5882617831230164,69.61499357223511,28291
DD,HorizontalRes,GCNConv,4,3,identity,14,0.6936170212765957,0.5905416011810303,88.09015107154846,42371
DD,HorizontalRes,GCNConv,4,4,identity,14,0.6978723404255319,0.6017867922782898,111.96182227134705,56451
DD,HorizontalRes,GCNConv,4,5,identity,18,0.7063829787234043,0.5951241850852966,150.3767867088318,70531
DD,HorizontalRes,GCNConv,4,6,identity,23,0.7191489361702128,0.6051378846168518,312.1446805000305,84611
DD,HorizontalRes,GCNConv,4,7,identity,11,0.7063829787234043,0.5984353423118591,284.20252299308777,98691
DD,HorizontalRes,GCNConv,4,8,identity,17,0.6936170212765957,0.6056714057922363,334.3899393081665,112771
DD,MatrixResGated,GCNConv,0,1,sparse,126,0.7172995780590717,0.5660090446472168,71.82149004936218,14211
DD,MatrixResGated,GCNConv,0,2,sparse,84,0.7172995780590717,0.5810312032699585,112.38574242591858,28291
DD,MatrixResGated,GCNConv,0,3,sparse,97,0.729957805907173,0.5894363522529602,146.47235250473022,42371
DD,MatrixResGated,GCNConv,0,4,sparse,61,0.7257383966244726,0.5743381381034851,149.7062005996704,56451
DD,MatrixResGated,GCNConv,0,5,sparse,97,0.7172995780590717,0.6002699732780457,239.9022569656372,70531
DD,MatrixResGated,GCNConv,0,6,sparse,119,0.7257383966244726,0.6179378032684326,331.252995967865,84611
DD,MatrixResGated,GCNConv,0,7,sparse,120,0.729957805907173,0.619583785533905,375.6515955924988,98691
DD,MatrixResGated,GCNConv,0,8,sparse,84,0.7257383966244726,0.5970183610916138,368.0826587677002,112771
DD,MatrixResGated,GCNConv,1,1,sparse,192,0.7669491525423728,0.5153664350509644,81.57596921920776,14211
DD,MatrixResGated,GCNConv,1,2,sparse,100,0.7923728813559322,0.526057243347168,135.1734118461609,28291
DD,MatrixResGated,GCNConv,1,3,sparse,89,0.7669491525423728,0.5187660455703735,150.5976619720459,42371
DD,MatrixResGated,GCNConv,1,4,sparse,92,0.7627118644067796,0.518409013748169,182.46856045722961,56451
DD,MatrixResGated,GCNConv,1,5,sparse,90,0.7542372881355932,0.5167062282562256,229.50980472564697,70531
DD,MatrixResGated,GCNConv,1,6,sparse,99,0.7796610169491526,0.5196965932846069,283.12592673301697,84611
DD,MatrixResGated,GCNConv,1,7,sparse,82,0.7796610169491526,0.5201358199119568,287.69236612319946,98691
DD,MatrixResGated,GCNConv,1,8,sparse,90,0.7754237288135594,0.5227194428443909,391.6339919567108,112771
DD,MatrixResGated,GCNConv,2,1,sparse,20,0.6978723404255319,0.610852837562561,33.91656732559204,14211
DD,MatrixResGated,GCNConv,2,2,sparse,14,0.676595744680851,0.6000671982765198,69.62351393699646,28291
DD,MatrixResGated,GCNConv,2,3,sparse,19,0.6893617021276596,0.6016485095024109,79.4209520816803,42371
DD,MatrixResGated,GCNConv,2,4,sparse,11,0.6595744680851063,0.6108163595199585,88.83256363868713,56451
DD,MatrixResGated,GCNConv,2,5,sparse,13,0.6595744680851063,0.6032565236091614,119.56472706794739,70531
DD,MatrixResGated,GCNConv,2,6,sparse,16,0.6680851063829787,0.5967538952827454,148.61799669265747,84611
DD,MatrixResGated,GCNConv,2,7,sparse,10,0.6553191489361702,0.6084199547767639,189.0582571029663,98691
DD,MatrixResGated,GCNConv,2,8,sparse,18,0.6808510638297872,0.5955882668495178,207.8935706615448,112771
DD,MatrixResGated,GCNConv,3,1,sparse,71,0.7446808510638298,0.5791054964065552,50.7797589302063,14211
DD,MatrixResGated,GCNConv,3,2,sparse,123,0.6978723404255319,0.5849281549453735,139.49566960334778,28291
DD,MatrixResGated,GCNConv,3,3,sparse,86,0.7191489361702128,0.5732855796813965,113.00805377960205,42371
DD,MatrixResGated,GCNConv,3,4,sparse,65,0.7021276595744681,0.5775548815727234,144.6583387851715,56451
