dataset,model,operator,fold,branches,residual_mode,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,HorizontalRes,GCNConv,0,B1,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.1271592197008431,0.4895128905773163,0.02895803563296795,1.0,0.5563832521438599,1.0,0.7451711363262601
DD,HorizontalRes,GCNConv,0,B2,identity,0.1278786063194275,0.1278786063194275,6.0,1190.2608261108398,1190.2608261108398,0.33523691197236377,0.8767480850219727,0.09278370291770746,0.342634916305542,0.0007564389379695058,0.998601421713829,0.7560446858406067,0.9999650716781616,0.792452355225881
DD,HorizontalRes,GCNConv,0,B3,identity,0.7344671289126078,0.7452146410942078,12.0,2258.759033203125,2258.759033203125,0.27534854826,0.8409523963928223,0.09708837087133101,0.42867031693458557,0.012593499384820461,0.9626446300082736,0.6726290980974833,0.9990201857354906,0.8059209055370755
DD,HorizontalRes,GCNConv,0,B4,identity,1.011413296063741,1.3236888647079468,18.0,3222.3023681640625,3222.3023681640625,0.29233079093197983,0.8498640656471252,0.04002865251257188,0.1792392134666443,0.00374055583961308,0.9053585417568684,0.7029167413711548,0.988157831132412,0.80716872215271
DD,HorizontalRes,GCNConv,0,B5,identity,1.3345814645290375,1.7772138118743896,24.0,4580.298866271973,4580.298866271973,0.29217050820589063,0.8530261516571045,0.04920486121607775,0.24470186233520508,0.003364164149388671,0.8243246078491211,0.6123962865935432,0.939353461265564,0.8173472285270691
DD,HorizontalRes,GCNConv,0,B6,identity,1.355522664388021,2.0950632095336914,30.0,4967.608818054199,4967.608818054199,0.23038767319586542,0.8672782182693481,0.09445796955902225,0.46991604566574097,0.003804038744419813,0.749119038383166,0.5727078649732802,0.7478152811527252,0.8128150039248996
DD,HorizontalRes,GCNConv,0,B7,identity,1.2209314150469643,1.96980881690979,36.0,5068.510936737061,5068.510936737061,0.2127819565080461,0.8734827637672424,0.036584437566084996,0.20674625039100647,0.0010366274509578943,0.7005021328828773,0.6162820590866936,0.6677350452055737,0.7865103350745307
DD,HorizontalRes,GCNConv,0,B8,identity,1.551178174359458,2.515692949295044,42.0,6891.649953842163,6891.649953842163,0.25588357045004767,0.8782073855400085,0.0626303593025488,0.29574668407440186,0.002271548844873905,0.6980815762653947,0.6372138261795044,0.6990325707010925,0.751341826385922
DD,HorizontalRes,GCNConv,1,B1,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.03013885553809814,0.11713077872991562,0.0013008450623601675,1.0,0.6212244696087308,1.0,0.9276474979188707
DD,HorizontalRes,GCNConv,1,B2,identity,0.17798322439193726,0.17798322439193726,6.0,1209.1521911621094,1209.1521911621094,0.33339659372965497,0.8488146662712097,0.15967383480941255,0.6274960041046143,0.002701211255043745,0.9972672164440155,0.6648441486888461,0.999998152256012,0.9409667650858561
DD,HorizontalRes,GCNConv,1,B3,identity,0.9874769051869711,1.0753741264343262,12.0,2596.9625968933105,2596.9625968933105,0.3272669878270891,0.8430898189544678,0.0253090261526051,0.11055814474821091,0.002015456324443221,0.943421893649631,0.6985679864883423,0.9988652931319343,0.9087526665793525
DD,HorizontalRes,GCNConv,1,B4,identity,1.2830702463785808,1.6037923097610474,18.0,4013.7361907958984,4013.7361907958984,0.3014315702021122,0.8325072526931763,0.014761137717869133,0.0807492807507515,0.0008641258464194834,0.8971392326056957,0.6707604395018684,0.9969623647630215,0.8991734915309482
DD,HorizontalRes,GCNConv,1,B5,identity,1.4321879208087922,2.150608539581299,24.0,4699.893016815186,4699.893016815186,0.2911533201734225,0.8388200998306274,0.013450965145955595,0.06301140040159225,0.00045661930926144123,0.8247723627090454,0.6577491362889608,0.9261001491546631,0.8020337886280484
DD,HorizontalRes,GCNConv,1,B6,identity,1.514547061920166,2.3290927410125732,30.0,5263.437961578369,5263.437961578369,0.2707788836624887,0.8552309274673462,0.060182735873147465,0.34075701236724854,0.002687032800167799,0.7963734252585305,0.6075451638963487,0.9769506785604689,0.9213093982802497
DD,HorizontalRes,GCNConv,1,B7,identity,1.8397248756317865,2.9437694549560547,36.0,6984.83797454834,6984.83797454834,0.29708692254055113,0.8443468809127808,0.041868099941509876,0.24593324959278107,0.000832647958304733,0.6797080404904424,0.615832527478536,0.6210709998802263,0.9279352691438463
DD,HorizontalRes,GCNConv,1,B8,identity,1.6317591496876307,2.702326536178589,42.0,7330.220390319824,7330.220390319824,0.26633533649146557,0.846545398235321,0.025789029540165383,0.14220082759857178,0.0011477574007585645,0.7380133420228958,0.6234667830997043,0.9177081044763327,0.8825227816899618
DD,HorizontalRes,GCNConv,2,B1,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.12961257109418511,0.48424941301345825,0.03967348113656044,1.0000001192092896,0.6891274915801154,1.0,0.9439496133062575
DD,HorizontalRes,GCNConv,2,B2,identity,0.170950785279274,0.170950785279274,6.0,1169.6480026245117,1169.6480026245117,0.42109471062819165,0.8049458265304565,0.01713749747723341,0.043687719851732254,0.0073674581944942474,0.9956795573234558,0.6808334257867601,0.9999952614307404,0.9691899882422553
DD,HorizontalRes,GCNConv,2,B3,identity,0.46610670288403827,0.487408846616745,12.0,1846.2172317504883,1846.2172317504883,0.36101842257711625,0.8005847334861755,0.010625015367709455,0.035378288477659225,0.0030228933319449425,0.9571141733063592,0.641897545920478,0.9992277092403836,0.962193681134118
