artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,mean_pairwise_distance,max_pairwise_distance,pair_count
branch_diversity,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,0.2129395455121994,0.2129395455121994,1
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,0.4852527876694997,0.5329079627990723,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,0.7127830783526102,0.7302817106246948,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,0.8752082387606303,1.003435492515564,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,0.7034081816673279,0.7244310975074768,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,0.8987826506296793,0.9548718333244324,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,0.8946391741434733,1.031272053718567,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,0.9470063845316569,1.0681694746017456,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,0.8249368667602539,0.8773963451385498,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,0.6844682892163595,0.7527590990066528,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,0.506428062915802,0.5406655669212341,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,0.6377792954444885,0.7478169202804565,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,0.6950624386469523,0.7053332924842834,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,0.9251688321431478,1.1782890558242798,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,0.8769279718399048,0.8824262022972107,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,0.9664234121640524,1.1089922189712524,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,0.7076189915339152,0.7229167222976685,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,0.6674415270487467,0.7294454574584961,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,0.9007410009702047,0.9445637464523315,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,0.7767715454101562,0.8443185687065125,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,0.7075415253639221,0.7255721688270569,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,0.9221375783284506,1.0122462511062622,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,0.697151799996694,0.7096419930458069,3
branch_diversity,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,0.9845850467681885,1.3219367265701294,6
branch_diversity,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,1.2152820825576782,1.5984883308410645,10
branch_diversity,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,1.3441937168439229,2.1698131561279297,15
branch_diversity,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,1.3848877946535747,2.4877254962921143,21
branch_diversity,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,1.4190403414624078,2.518704652786255,28
branch_diversity,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,0.0,0.0,0
branch_diversity,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,0.24694591760635376,0.24694591760635376,1
branch_diversity,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,0.8969047665596008,1.027216911315918,3
branch_diversity,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,0.9002745747566223,1.0195690393447876,3
branch_diversity,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,1.2992857495943706,1.7039443254470825,6
branch_diversity,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,1.5176493227481842,2.294926643371582,10
branch_diversity,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,1.3619632562001547,2.027017116546631,15
branch_diversity,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,1.6098610957463582,2.5931060314178467,21
branch_diversity,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,1.6614733785390854,2.825611114501953,28
branch_diversity,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,0.0,0.0,0
branch_diversity,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,0.29521432518959045,0.29521432518959045,1
branch_diversity,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,0.7108566363652548,0.7553601861000061,3
branch_diversity,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,0.7112614313761393,0.756284773349762,3
branch_diversity,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,1.3170259296894073,1.777185320854187,6
branch_diversity,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,1.2620848715305328,2.037724494934082,10
branch_diversity,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,1.2903438766797384,1.9922813177108765,15
branch_diversity,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,1.578055012793768,2.1674344539642334,21
branch_diversity,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,1.6887302568980627,2.741144895553589,28
branch_diversity,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,0.0,0.0,0
branch_diversity,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,0.24531085789203644,0.24531085789203644,1
branch_diversity,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,0.7470527489980062,0.7983534932136536,3
branch_diversity,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,0.7645005981127421,0.8098421096801758,3
branch_diversity,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,1.1112839182217915,1.4035873413085938,6
branch_diversity,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,1.3370562136173247,1.962167501449585,10
branch_diversity,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,1.0427208145459492,1.519379734992981,15
branch_diversity,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,1.42292735122499,2.253232955932617,21
branch_diversity,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,1.5945388759885515,2.7731590270996094,28
branch_diversity,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,0.0,0.0,0
branch_diversity,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,0.3364222049713135,0.3364222049713135,1
branch_diversity,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,0.9569016297658285,0.998673141002655,3
branch_diversity,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,0.9570237199465433,0.9985864758491516,3
branch_diversity,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,1.3613144755363464,1.7956830263137817,6
branch_diversity,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,1.182214230298996,1.936694622039795,10
branch_diversity,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,1.3286703864733378,2.027827501296997,15
branch_diversity,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,1.65971230892908,2.4904119968414307,21
branch_diversity,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,1.3307215762989861,2.050720691680908,28
branch_diversity,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,0.0,0.0,0
branch_diversity,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,0.16203738749027252,0.16203738749027252,1
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,0.9235974748929342,1.087707757949829,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,1.129348635673523,1.433769941329956,3
