artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_depth,max_cosine_depth,min_cosine_depth
cosine_depth,DD,HorizontalRes,GCNConv,4,B2,identity,20260507_080544,cosine_depth,0.7077569895320468,1.0000001192092896,0.46733251214027405
cosine_depth,DD,HorizontalRes,GCNConv,4,B3,identity,20260506_222946,cosine_depth,0.6774690879715813,1.0000001192092896,0.4900382459163666
cosine_depth,DD,HorizontalRes,GCNConv,4,B3,identity,20260507_080918,cosine_depth,0.6772992081112332,1.0,0.48807889223098755
cosine_depth,DD,HorizontalRes,GCNConv,4,B4,identity,20260507_081457,cosine_depth,0.6767698658837212,1.0000001192092896,0.48455172777175903
cosine_depth,DD,HorizontalRes,GCNConv,4,B5,identity,20260507_082051,cosine_depth,0.6417998605304294,1.000000238418579,0.39062735438346863
cosine_depth,DD,HorizontalRes,GCNConv,4,B6,identity,20260507_083618,cosine_depth,0.6002484626240201,1.0000001192092896,0.37167590856552124
cosine_depth,DD,HorizontalRes,GCNConv,4,B7,identity,20260507_084858,cosine_depth,0.6840772363874648,1.0000001192092896,0.47173795104026794
cosine_depth,DD,HorizontalRes,GCNConv,4,B8,identity,20260507_090423,cosine_depth,0.6612639625867208,1.0,0.40130794048309326
cosine_depth,DD,MatrixResGated,GCNConv,0,B1,sparse,20260507_100211,cosine_depth,0.7620440589057075,1.000000238418579,0.5925615429878235
cosine_depth,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,cosine_depth,0.8837385045157539,1.0000001192092896,0.7605543732643127
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,cosine_depth,0.8648231426874796,1.0000001192092896,0.7211929559707642
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,cosine_depth,0.8504671189520094,1.0000001192092896,0.7132533192634583
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,cosine_depth,0.9107399781545004,1.000000238418579,0.8390527963638306
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,cosine_depth,0.8475932478904724,1.000000238418579,0.7023124694824219
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,cosine_depth,0.8247483902507358,1.0000001192092896,0.6345986127853394
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,cosine_depth,0.7980095479223464,1.0000001192092896,0.5450960397720337
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,cosine_depth,0.8634704218970405,1.0,0.7275795936584473
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,cosine_depth,0.8450100289450752,1.0000003576278687,0.6943173408508301
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,cosine_depth,0.8226076695654128,1.000000238418579,0.6463013291358948
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,cosine_depth,0.8214026689529419,1.0000001192092896,0.6496545672416687
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,cosine_depth,0.9116899768511454,1.0000001192092896,0.8157672882080078
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,cosine_depth,0.849583281411065,1.0000001192092896,0.7083806395530701
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,cosine_depth,0.8949846360418532,1.0,0.7729360461235046
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,cosine_depth,0.8259530133671231,1.000000238418579,0.6622703075408936
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,cosine_depth,0.8851996925142076,1.0000001192092896,0.7522228956222534
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,cosine_depth,0.8506200181113349,1.0000001192092896,0.711277186870575
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,cosine_depth,0.7953799433178372,1.0000001192092896,0.681867778301239
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,cosine_depth,0.7277495529916551,1.0000001192092896,0.5577009320259094
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,cosine_depth,0.83224575387107,1.0000001192092896,0.6927423477172852
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,cosine_depth,0.8495654198858473,1.0000001192092896,0.7085962891578674
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,cosine_depth,0.8712450928158231,1.0,0.7380369901657104
cosine_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,cosine_depth,0.850078284740448,1.0,0.7105507850646973
cosine_depth,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,cosine_depth,0.8639396958880954,1.0,0.7125324010848999
cosine_depth,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,cosine_depth,0.8561550312572055,1.0000001192092896,0.6727966070175171
cosine_depth,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,cosine_depth,0.8633342716428969,1.0,0.7195057272911072
cosine_depth,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,cosine_depth,0.8733573092354668,1.0,0.7525982856750488
cosine_depth,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,cosine_depth,0.8727494279543558,1.0,0.7711693048477173
cosine_depth,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,cosine_depth,0.6915854414304098,1.0,0.43461328744888306
cosine_depth,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,cosine_depth,0.8183589776357015,1.0,0.6005614399909973
cosine_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,cosine_depth,0.8313949902852377,1.0000001192092896,0.6470744013786316
cosine_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,cosine_depth,0.8337896532482572,1.0,0.6518688797950745
