artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_branch,max_cosine_branch,min_cosine_branch
cosine_branch,DD,HorizontalRes,GCNConv,4,B2,identity,20260507_080544,cosine_branch,0.9958617091178894,1.0000001192092896,0.9917232990264893
cosine_branch,DD,HorizontalRes,GCNConv,4,B3,identity,20260506_222946,cosine_branch,0.9692301551500956,0.9999999403953552,0.9103121757507324
cosine_branch,DD,HorizontalRes,GCNConv,4,B3,identity,20260507_080918,cosine_branch,0.9696550832854377,1.0,0.9115260243415833
cosine_branch,DD,HorizontalRes,GCNConv,4,B4,identity,20260507_081457,cosine_branch,0.9090448170900345,1.0000001192092896,0.7189742922782898
cosine_branch,DD,HorizontalRes,GCNConv,4,B5,identity,20260507_082051,cosine_branch,0.8796802735328675,1.0,0.6984090805053711
cosine_branch,DD,HorizontalRes,GCNConv,4,B6,identity,20260507_083618,cosine_branch,0.847097881966167,1.0000001192092896,0.6610829830169678
cosine_branch,DD,HorizontalRes,GCNConv,4,B7,identity,20260507_084858,cosine_branch,0.8067258742390847,1.0000001192092896,0.601860523223877
cosine_branch,DD,HorizontalRes,GCNConv,4,B8,identity,20260507_090423,cosine_branch,0.7778397593647242,1.0000001192092896,0.5589454770088196
cosine_branch,DD,MatrixResGated,GCNConv,0,B1,sparse,20260507_100211,cosine_branch,1.0,1.0,1.0
cosine_branch,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,cosine_branch,0.997206062078476,1.0,0.9944121837615967
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,cosine_branch,0.9566526810328165,1.000000238418579,0.8817129135131836
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,cosine_branch,0.968689050939348,1.0,0.9070205092430115
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,cosine_branch,0.9812421202659607,1.000000238418579,0.9444712996482849
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,cosine_branch,0.9684354729122586,1.0000001192092896,0.9063513278961182
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,cosine_branch,0.9598594506581625,1.0,0.8810423612594604
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,cosine_branch,0.9417385127809312,1.0000001192092896,0.8283568024635315
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,cosine_branch,0.9704394936561584,1.0000001192092896,0.9123718738555908
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,cosine_branch,0.9742878211869134,1.0,0.9237940907478333
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,cosine_branch,0.9719861878289117,1.0,0.9169319272041321
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,cosine_branch,0.9789695077472262,1.0000001192092896,0.9375401139259338
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,cosine_branch,0.9877288473976983,1.0000001192092896,0.9636146426200867
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,cosine_branch,0.9707920683754815,1.0,0.9133646488189697
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,cosine_branch,0.9868625733587477,1.0000001192092896,0.9615547060966492
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,cosine_branch,0.9710112478997972,1.0000001192092896,0.9148097038269043
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,cosine_branch,0.9785324931144714,1.0000001192092896,0.9367020726203918
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,cosine_branch,0.9691551989979215,1.0000001192092896,0.90838223695755
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,cosine_branch,0.9630024433135986,1.0000001192092896,0.8941052556037903
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,cosine_branch,0.8882146411471896,1.0000001192092896,0.7779451012611389
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,cosine_branch,0.9458014832602607,1.000000238418579,0.8596174716949463
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,cosine_branch,0.9686875740687052,1.0000001192092896,0.9070766568183899
