artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_branch,max_cka_branch,min_cka_branch
cka_branch,DD,HorizontalRes,GCNConv,4,B4,identity,20260507_081457,cka_branch,0.9983554147183895,1.0,0.9955389499664307
cka_branch,DD,HorizontalRes,GCNConv,4,B5,identity,20260507_082051,cka_branch,0.9943110227584839,1.0,0.982546865940094
cka_branch,DD,HorizontalRes,GCNConv,4,B6,identity,20260507_083618,cka_branch,0.9958882431189219,1.0,0.9831886887550354
cka_branch,DD,HorizontalRes,GCNConv,4,B7,identity,20260507_084858,cka_branch,0.990540401059754,1.0,0.9737837314605713
cka_branch,DD,HorizontalRes,GCNConv,4,B8,identity,20260507_090423,cka_branch,0.995532245375216,1.0000001192092896,0.9901712536811829
cka_branch,DD,MatrixResGated,GCNConv,0,B1,sparse,20260507_100211,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,cka_branch,0.9998870193958282,1.0,0.9997739791870117
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,cka_branch,0.9579717715581259,1.0,0.8794167041778564
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,cka_branch,0.9938775764571296,1.0,0.9822385907173157
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,cka_branch,0.9972818560070462,1.0000001192092896,0.9920312166213989
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,cka_branch,0.9921717974874709,1.0,0.9772102236747742
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,cka_branch,0.9898941848013136,1.000000238418579,0.9708477258682251
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,cka_branch,0.996381680170695,1.0,0.9905920624732971
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,cka_branch,0.9948794841766357,1.0000001192092896,0.9851072430610657
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,cka_branch,0.9936820732222663,1.0,0.9815778732299805
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,cka_branch,0.9852560626135932,1.0,0.9569326043128967
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,cka_branch,0.9968975716167026,1.0,0.9911338686943054
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,cka_branch,0.9952895906236436,1.0,0.986221969127655
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,cka_branch,0.9932242830594381,1.0,0.9803019762039185
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,cka_branch,0.9986058473587036,1.0,0.9958536624908447
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,cka_branch,0.9983045922385322,1.0000001192092896,0.9953175783157349
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,cka_branch,0.9977462026807997,1.0,0.99346923828125
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,cka_branch,0.9942293299569024,1.0,0.9832985401153564
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,cka_branch,0.996886134147644,1.0000001192092896,0.99173903465271
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,cka_branch,0.9633017049895393,1.0,0.9247289299964905
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,cka_branch,0.9884865548875597,1.0,0.9691842794418335
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,cka_branch,0.9934874773025513,1.0,0.9810900092124939
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,cka_branch,0.9939945207701789,1.0,0.9824092388153076
cka_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,cka_branch,0.9936263627476163,1.0000001192092896,0.9814369082450867
cka_branch,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,cka_branch,0.9727375507354736,1.0,0.9052096009254456
cka_branch,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,cka_branch,0.9075279068946839,1.0,0.6819698214530945
cka_branch,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,cka_branch,0.8709654659032822,1.0000001192092896,0.6244317889213562
cka_branch,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,cka_branch,0.8746373592590799,1.0,0.7012660503387451
cka_branch,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,cka_branch,0.8155589131638408,1.0,0.5236455202102661
cka_branch,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,cka_branch,1.000000238418579,1.000000238418579,1.000000238418579
cka_branch,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,cka_branch,0.9999947398900986,1.0,0.99998939037323
cka_branch,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,cka_branch,0.9998150931464301,1.0,0.999475359916687
cka_branch,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,cka_branch,0.9997789727316962,1.0,0.9993616342544556
cka_branch,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,cka_branch,0.9991084784269333,1.0,0.9969987273216248
cka_branch,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,cka_branch,0.9956567072868348,1.000000238418579,0.9833933711051941
cka_branch,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,cka_branch,0.9934616370333565,1.0,0.9766730666160583
cka_branch,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,cka_branch,0.993015351344128,1.0,0.9813334345817566
cka_branch,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,cka_branch,0.9765625316649675,1.0000001192092896,0.918163537979126
cka_branch,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,cka_branch,0.9999394714832306,1.0,0.9998789429664612
cka_branch,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,cka_branch,0.9977660510275099,1.0,0.9934530854225159
cka_branch,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,cka_branch,0.997779819700453,1.0000001192092896,0.9934961199760437
cka_branch,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,cka_branch,0.9829140976071358,1.0,0.9425990581512451
cka_branch,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,cka_branch,0.9851022744178772,1.0,0.9483209848403931
cka_branch,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,cka_branch,0.980962849325604,1.0,0.9351040720939636
cka_branch,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,cka_branch,0.9706341344483045,1.0,0.9247086644172668
cka_branch,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,cka_branch,0.9539458053186536,1.0000001192092896,0.8631382584571838
cka_branch,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,cka_branch,0.9998548924922943,1.0,0.9997097849845886
cka_branch,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,cka_branch,0.9943475988176134,1.0,0.9833170771598816
cka_branch,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,cka_branch,0.993868907292684,1.0,0.9819026589393616
cka_branch,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,cka_branch,0.9848149307072163,1.0,0.9489938616752625
cka_branch,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,cka_branch,0.914040162563324,1.0,0.6946075558662415
cka_branch,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,cka_branch,0.9438539892435074,1.0000001192092896,0.8122286796569824
cka_branch,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,cka_branch,0.918056033095535,1.000000238418579,0.7447235584259033
cka_branch,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,cka_branch,0.8991479715332389,1.0000001192092896,0.7229045629501343
cka_branch,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,cka_branch,0.9999720305204391,1.0,0.9999440908432007
cka_branch,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,cka_branch,0.9986610015233358,1.0,0.9961459040641785
cka_branch,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,cka_branch,0.9986584848827786,1.0,0.996136486530304
cka_branch,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,cka_branch,0.9878495708107948,1.0,0.9595257043838501
cka_branch,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,cka_branch,0.9816249203681946,1.0,0.9371142387390137
cka_branch,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,cka_branch,0.9864958673715591,1.0,0.9590199589729309
cka_branch,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,cka_branch,0.970743367866594,1.000000238418579,0.9299129247665405
cka_branch,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,cka_branch,0.9597610784694552,1.0,0.899894654750824
cka_branch,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,cka_branch,0.9999859482049942,1.0,0.9999718070030212
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,cka_branch,0.9855735434426202,1.0,0.9579921960830688
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,cka_branch,0.9977671239111159,1.0,0.9933251142501831
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,cka_branch,0.9990572068426344,1.0,0.9971814155578613
