artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,grad_rows,mean_grad_norm,grad_max,grad_min
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B3,identity,20260506_222946,21,0.027136207624737705,0.09452690929174423,0.003943629562854767
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B3,identity,20260507_080918,21,0.03149196645244956,0.11183124035596848,0.004468496423214674
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B4,identity,20260507_081457,27,0.01252590002561057,0.06189299002289772,0.0038019877392798662
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B5,identity,20260507_082051,33,0.007480249034635948,0.04717355594038963,0.0012724249390885234
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B6,identity,20260507_083618,39,0.014588691980745166,0.07687672972679138,0.002178840572014451
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B7,identity,20260507_084858,45,0.010340639214134879,0.040910545736551285,0.002055148361250758
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B8,identity,20260507_090423,51,0.009861463228898013,0.07462098449468613,0.002155689522624016
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B1,sparse,20260507_100211,9,0.19140436506778416,0.8911229968070984,0.0005557244876399636
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,15,0.12532921706636746,0.4767833650112152,0.01100463792681694
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,21,0.013728700500602523,0.04366505146026611,0.00322462385520339
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,21,0.10977028035337016,0.4828799366950989,0.01052218396216631
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,21,0.18041545888852506,0.7968741655349731,0.006227944046258926
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,21,0.15669388882815838,0.6974680423736572,0.011625823564827442
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,21,0.0665703115186521,0.26341724395751953,0.007305119186639786
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,21,0.08857698658747333,0.39808934926986694,0.0103274155408144
